candidate_id,rank,score,reasoning
CAND_0025012,48,0.4590,"Ideal yoe (4.9), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0021033,49,0.4581,"Ideal yoe (5.5), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0040107,50,0.4572,"Adequate yoe (14.2), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0014769,51,0.4563,"Ideal yoe (7.5), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0061092,52,0.4560,"Adequate yoe (12.4), proven experience building search/ranking/retrieval systems."
CAND_0024335,53,0.4545,"Ideal yoe (4.9), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0073601,54,0.4545,"High yoe (10.6), proven experience building search/ranking/retrieval systems."
CAND_0094004,55,0.4540,"Ideal yoe (4.3), proven experience building search/ranking/retrieval systems."
CAND_0036869,56,0.4536,"High yoe (10.6), proven experience building search/ranking/retrieval systems."
CAND_0065455,57,0.4536,"Ideal yoe (5.8), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0086672,58,0.4530,"Ideal yoe (5.1), proven experience building search/ranking/retrieval systems."
CAND_0074669,59,0.4527,"High yoe (9.4), proven experience building search/ranking/retrieval systems."
CAND_0089152,60,0.4527,"Ideal yoe (7.5), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0092031,61,0.4527,"Ideal yoe (5.6), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0030444,62,0.4512,"Ideal yoe (4.8), proven experience building search/ranking/retrieval systems, poor recruiter response rate."
CAND_0036144,63,0.4512,"Ideal yoe (5.1), proven experience building search/ranking/retrieval systems."
CAND_0027486,64,0.4509,"Ideal yoe (6.0), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0047965,65,0.4509,"High yoe (11.6), proven experience building search/ranking/retrieval systems."
CAND_0018745,66,0.4500,"Ideal yoe (7.7), proven experience building search/ranking/retrieval systems."
CAND_0024051,67,0.4500,"Ideal yoe (6.7), proven experience building search/ranking/retrieval systems."
CAND_0024319,68,0.4500,"Ideal yoe (4.0), proven experience building search/ranking/retrieval systems."
CAND_0028235,69,0.4500,"Ideal yoe (6.1), proven experience building search/ranking/retrieval systems."
CAND_0028955,70,0.4500,"Ideal yoe (4.6), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0028985,71,0.4500,"Ideal yoe (4.3), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0030086,72,0.4500,"Ideal yoe (4.6), proven experience building search/ranking/retrieval systems."
CAND_0030212,73,0.4500,"Ideal yoe (7.2), proven experience building search/ranking/retrieval systems."
CAND_0030692,74,0.4500,"High yoe (9.0), proven experience building search/ranking/retrieval systems."
CAND_0033615,75,0.4500,"Ideal yoe (6.6), proven experience building search/ranking/retrieval systems."
CAND_0033796,76,0.4500,"High yoe (10.8), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0040112,77,0.4500,"Ideal yoe (4.5), proven experience building search/ranking/retrieval systems."
CAND_0040207,78,0.4500,"Ideal yoe (6.4), proven experience building search/ranking/retrieval systems."
CAND_0041380,79,0.4500,"Ideal yoe (4.8), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0043798,80,0.4500,"Ideal yoe (5.0), proven experience building search/ranking/retrieval systems."
CAND_0044839,81,0.4500,"Ideal yoe (7.8), proven experience building search/ranking/retrieval systems."
CAND_0045397,82,0.4500,"High yoe (11.7), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0045907,83,0.4500,"High yoe (9.5), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0047063,84,0.4500,"Ideal yoe (5.1), proven experience building search/ranking/retrieval systems."
CAND_0050072,85,0.4500,"Ideal yoe (7.7), proven experience building search/ranking/retrieval systems."
CAND_0051824,86,0.4500,"Ideal yoe (7.4), proven experience building search/ranking/retrieval systems."
CAND_0051904,87,0.4500,"Ideal yoe (4.2), proven experience building search/ranking/retrieval systems."
CAND_0054437,88,0.4500,"High yoe (8.1), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0054535,89,0.4500,"Ideal yoe (7.3), proven experience building search/ranking/retrieval systems."
CAND_0055040,90,0.4500,"Ideal yoe (5.1), proven experience building search/ranking/retrieval systems."
CAND_0055663,91,0.4500,"Ideal yoe (4.6), proven experience building search/ranking/retrieval systems."
CAND_0058172,92,0.4500,"Ideal yoe (6.9), proven experience building search/ranking/retrieval systems."
CAND_0058650,93,0.4500,"Ideal yoe (5.9), proven experience building search/ranking/retrieval systems."
CAND_0059123,94,0.4500,"Ideal yoe (6.8), proven experience building search/ranking/retrieval systems."
CAND_0060545,95,0.4500,"High yoe (11.3), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0066990,96,0.4500,"High yoe (10.4), proven experience building search/ranking/retrieval systems."
CAND_0068237,97,0.4500,"Ideal yoe (5.0), proven experience building search/ranking/retrieval systems."
CAND_0069311,98,0.4500,"Ideal yoe (4.9), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0070387,99,0.4500,"Ideal yoe (6.2), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0071788,100,0.4500,"High yoe (11.7), proven experience building search/ranking/retrieval systems, ideal location."
